,^BVSP,BOVA11.SA,SMAL11.SA,SPY,QQQ,IWM,EFA,EEM,EWZ,IEF,TLT,LQD,HYG,BRL=X,EURUSD=X,JPY=X,GBPUSD=X,AUDUSD=X,GLD,SLV,DBC,USO,DBA,BTC-USD,ETH-USD,VNQ
^BVSP,1.0,1.0,0.88,0.59,0.53,0.58,0.65,0.73,0.93,-0.12,-0.15,0.28,0.56,-0.36,0.2,0.05,0.28,0.27,0.32,0.36,0.51,0.41,0.35,0.18,0.2,0.45
BOVA11.SA,1.0,1.0,0.89,0.51,0.42,0.5,0.58,0.65,0.93,-0.13,-0.17,0.35,0.57,-0.36,0.15,0.03,0.25,0.19,0.26,0.35,0.44,0.37,0.33,0.18,0.2,0.43
SMAL11.SA,0.88,0.89,1.0,0.5,0.43,0.51,0.55,0.59,0.83,-0.08,-0.1,0.39,0.58,-0.37,0.23,-0.01,0.23,0.24,0.23,0.3,0.35,0.3,0.3,0.24,0.23,0.49
SPY,0.59,0.51,0.5,1.0,0.85,0.88,0.86,0.75,0.59,-0.1,-0.09,0.4,0.75,-0.18,0.12,0.06,0.13,0.19,0.09,0.27,0.46,0.35,0.3,0.37,0.36,0.75
QQQ,0.53,0.42,0.43,0.85,1.0,0.75,0.71,0.69,0.48,-0.1,-0.09,0.33,0.68,-0.14,0.12,0.07,0.13,0.17,0.05,0.23,0.35,0.26,0.19,0.35,0.36,0.62
IWM,0.58,0.5,0.51,0.88,0.75,1.0,0.79,0.71,0.56,-0.15,-0.14,0.33,0.73,-0.18,0.11,0.05,0.11,0.2,0.05,0.22,0.44,0.37,0.25,0.3,0.28,0.75
EFA,0.65,0.58,0.55,0.86,0.71,0.79,1.0,0.86,0.66,-0.02,-0.04,0.46,0.77,-0.24,0.26,0.03,0.21,0.3,0.22,0.36,0.53,0.39,0.38,0.27,0.26,0.72
EEM,0.73,0.65,0.59,0.75,0.69,0.71,0.86,1.0,0.77,-0.03,-0.06,0.41,0.71,-0.26,0.28,0.02,0.26,0.35,0.34,0.44,0.56,0.39,0.38,0.16,0.13,0.62
EWZ,0.93,0.93,0.83,0.59,0.48,0.56,0.66,0.77,1.0,-0.09,-0.13,0.32,0.59,-0.36,0.2,0.09,0.23,0.25,0.35,0.41,0.58,0.46,0.45,0.17,0.18,0.46
IEF,-0.12,-0.13,-0.08,-0.1,-0.1,-0.15,-0.02,-0.03,-0.09,1.0,0.92,0.67,0.08,0.09,0.02,-0.21,-0.14,0.05,0.31,0.13,-0.26,-0.32,-0.05,0.0,-0.01,0.12
TLT,-0.15,-0.17,-0.1,-0.09,-0.09,-0.14,-0.04,-0.06,-0.13,0.92,1.0,0.65,0.04,0.08,0.05,-0.2,-0.13,0.1,0.23,0.06,-0.31,-0.34,-0.13,0.03,0.04,0.14
LQD,0.28,0.35,0.39,0.4,0.33,0.33,0.46,0.41,0.32,0.67,0.65,1.0,0.69,-0.15,0.23,-0.12,0.06,0.28,0.27,0.3,0.1,-0.01,0.19,0.2,0.2,0.5
HYG,0.56,0.57,0.58,0.75,0.68,0.73,0.77,0.71,0.59,0.08,0.04,0.69,1.0,-0.22,0.24,0.0,0.13,0.29,0.17,0.29,0.44,0.31,0.36,0.32,0.32,0.76
BRL=X,-0.36,-0.36,-0.37,-0.18,-0.14,-0.18,-0.24,-0.26,-0.36,0.09,0.08,-0.15,-0.22,1.0,-0.43,0.14,-0.34,-0.59,-0.03,-0.11,-0.21,-0.25,-0.15,-0.05,-0.04,-0.22
EURUSD=X,0.2,0.15,0.23,0.12,0.12,0.11,0.26,0.28,0.2,0.02,0.05,0.23,0.24,-0.43,1.0,-0.3,0.66,0.74,0.07,0.09,0.08,0.02,0.15,0.14,-0.01,0.13
JPY=X,0.05,0.03,-0.01,0.06,0.07,0.05,0.03,0.02,0.09,-0.21,-0.2,-0.12,0.0,0.14,-0.3,1.0,-0.16,-0.21,-0.14,0.0,0.15,0.13,0.05,0.07,0.14,-0.1
GBPUSD=X,0.28,0.25,0.23,0.13,0.13,0.11,0.21,0.26,0.23,-0.14,-0.13,0.06,0.13,-0.34,0.66,-0.16,1.0,0.57,0.04,0.09,0.12,0.12,0.1,0.0,-0.09,0.06
AUDUSD=X,0.27,0.19,0.24,0.19,0.17,0.2,0.3,0.35,0.25,0.05,0.1,0.28,0.29,-0.59,0.74,-0.21,0.57,1.0,0.03,0.1,0.14,0.09,0.19,0.15,0.05,0.22
GLD,0.32,0.26,0.23,0.09,0.05,0.05,0.22,0.34,0.35,0.31,0.23,0.27,0.17,-0.03,0.07,-0.14,0.04,0.03,1.0,0.8,0.32,0.05,0.3,0.03,0.02,0.15
SLV,0.36,0.35,0.3,0.27,0.23,0.22,0.36,0.44,0.41,0.13,0.06,0.3,0.29,-0.11,0.09,0.0,0.09,0.1,0.8,1.0,0.44,0.22,0.36,0.09,0.09,0.22
DBC,0.51,0.44,0.35,0.46,0.35,0.44,0.53,0.56,0.58,-0.26,-0.31,0.1,0.44,-0.21,0.08,0.15,0.12,0.14,0.32,0.44,1.0,0.83,0.63,0.16,0.12,0.33
USO,0.41,0.37,0.3,0.35,0.26,0.37,0.39,0.39,0.46,-0.32,-0.34,-0.01,0.31,-0.25,0.02,0.13,0.12,0.09,0.05,0.22,0.83,1.0,0.38,0.09,0.05,0.23
DBA,0.35,0.33,0.3,0.3,0.19,0.25,0.38,0.38,0.45,-0.05,-0.13,0.19,0.36,-0.15,0.15,0.05,0.1,0.19,0.3,0.36,0.63,0.38,1.0,0.23,0.33,0.26
BTC-USD,0.18,0.18,0.24,0.37,0.35,0.3,0.27,0.16,0.17,0.0,0.03,0.2,0.32,-0.05,0.14,0.07,0.0,0.15,0.03,0.09,0.16,0.09,0.23,1.0,0.76,0.23
ETH-USD,0.2,0.2,0.23,0.36,0.36,0.28,0.26,0.13,0.18,-0.01,0.04,0.2,0.32,-0.04,-0.01,0.14,-0.09,0.05,0.02,0.09,0.12,0.05,0.33,0.76,1.0,0.23
VNQ,0.45,0.43,0.49,0.75,0.62,0.75,0.72,0.62,0.46,0.12,0.14,0.5,0.76,-0.22,0.13,-0.1,0.06,0.22,0.15,0.22,0.33,0.23,0.26,0.23,0.23,1.0
