Date,^BVSP,SPY,IEF,BRL=X,EURUSD=X,JPY=X,GLD,DBC
2003-01-01,,,,,,118.7100,,
2003-01-02,11603.00,59.32901,42.79612,,,120.2100,,
2003-01-03,11600.00,59.51141,42.86683,,,119.6700,,
2003-01-06,12020.00,60.56028,42.76078,,,119.3600,,
2003-01-07,11876.00,60.41044,42.89706,,,120.2200,,
2003-01-08,11786.00,59.53746,42.99800,,,119.1100,,
2003-01-09,11912.00,60.46252,42.47818,,,119.3800,,
2003-01-10,12243.00,60.62542,42.52356,,,119.3000,,
2003-01-13,12110.00,60.60587,42.59929,,,119.2400,,
2003-01-14,12175.00,60.80133,42.70020,,,118.0000,,
2003-01-15,11971.00,60.19545,42.79612,,,118.1100,,
2003-01-16,11952.00,59.94789,42.78096,,,117.8200,,
2003-01-17,11676.00,59.06192,42.95762,,,117.7800,,
2003-01-20,11648.00,,,,,118.0100,,
2003-01-21,11435.00,58.14334,43.10400,,,118.1600,,
2003-01-22,11142.00,57.43974,43.28070,,,118.3400,,
2003-01-23,11162.00,57.79155,43.18984,,,118.1200,,
2003-01-24,10784.00,56.27361,43.27565,,,117.8100,,
2003-01-27,10530.00,55.50489,43.14441,,,118.5500,,
2003-01-28,10517.00,55.91533,43.14945,,,118.6800,,
2003-01-29,10863.00,56.33877,42.96270,,,118.6300,,
2003-01-30,10751.00,55.00327,43.12925,,,119.0400,,
2003-01-31,10941.00,56.06513,43.14945,,,119.9100,,
2003-02-03,10910.00,56.17590,43.08260,,,120.3000,,
2003-02-04,10577.00,55.62215,43.22437,,,119.8400,,
2003-02-05,10592.00,55.27688,43.05727,,,120.1400,,
2003-02-06,10566.00,55.01627,43.22437,,,119.8900,,
2003-02-07,10381.00,54.34528,43.24464,,,120.2200,,
2003-02-10,10480.00,54.72965,43.16361,,,121.2100,,
2003-02-11,10509.00,54.35184,43.20412,,,120.9500,,
2003-02-12,10510.00,53.48535,43.39146,,,121.3200,,
2003-02-13,10108.00,53.64822,43.54846,,,120.3300,,
2003-02-14,10081.00,54.82085,43.39653,,,120.3000,,
2003-02-17,10189.00,,,,,120.2100,,
2003-02-18,10450.00,55.78504,43.39653,,,119.0400,,
2003-02-19,10252.00,55.49184,43.55859,,,118.6800,,
2003-02-20,10217.00,54.93813,43.71051,,,118.3000,,
2003-02-21,10331.00,55.49184,43.54846,,,118.6100,,
2003-02-24,10254.00,54.59284,43.72063,,,118.1500,,
2003-02-25,10192.00,55.02930,43.78139,,,117.4600,,
2003-02-26,9995.000,54.22801,43.91307,,,117.0900,,
2003-02-27,10126.00,54.94461,43.95357,,,117.7100,,
2003-02-28,10281.00,55.30944,44.10041,,,118.0900,,
2003-03-03,,54.78177,44.19181,,,117.6500,,
2003-03-04,,53.90879,44.27813,,,117.1400,,
2003-03-05,10306.00,54.36484,44.35936,,,117.2900,,
2003-03-06,10615.00,53.90879,44.26795,,,117.3000,,
2003-03-07,10724.00,54.28014,44.41522,,,117.0500,,
2003-03-10,10309.00,52.97718,44.56248,,,116.8500,,
2003-03-11,10340.00,52.45602,44.55235,,,117.1200,,
2003-03-12,10577.00,52.80783,44.45078,,,117.4900,,
2003-03-13,10783.00,54.63192,43.95827,,,118.6600,,
2003-03-14,10817.00,54.80782,44.10041,,,118.3000,,
2003-03-17,10875.00,56.53419,43.75514,,,118.8100,,
2003-03-18,11151.00,56.86646,43.51649,,,118.6000,,
